tt0070379,7.3,7.4,7.4,7.2,7.2
tt0070511,8.1,8,8,8,8.1
tt0070608,7.7,7.4,7.5,7.6,7.3
tt0070666,7.8,7.3,7.8,7.7,7.7
tt0070735,8.2,7.9,8.3,8.2,8.3
tt0070917,7.6,7.6,7.6,7.5,7.6
tt0071230,7.8,7.8,7.7,7.6,7.9
tt0071315,8.1,8.1,8.2,8.1,8.2
tt0071360,7.8,7.9,7.9,7.8,7.8
tt0071562,8.8,9.1,9,9,8.9
tt0071807,6.8,7.3,6.8,6.7,6.7
tt0071853,8.2,8.5,8.2,8.2,8.3
tt0072271,7.5,7.7,7.5,7.5,7.3
tt0072431,8.1,8.1,8,7.9,8.2
tt0072684,8,8.7,8.3,8,7.9
tt0072890,8,8.4,8.1,8,7.9
tt0073195,8,8.3,7.8,8,8.3
tt0073486,8.6,9,8.7,8.6,8.7
tt0073629,7.6,8,7.6,7.3,7.4
tt0074119,8,8,8,7.9,8
tt0074285,7.4,7.6,7.4,7.3,7.5
tt0074486,7.4,8,7.7,7.3,7
tt0074958,8,8.1,8.2,8.1,8
tt0075005,7.6,7.9,7.4,7.5,7.7
tt0075029,8,7.3,7.8,7.7,8
tt0075148,8.1,8.2,8.1,8,8
tt0075314,8.2,8.7,8.3,8.2,8.3
tt0075686,7.9,8.4,8,8,7.9
tt0075860,7.6,7.4,7.5,7.5,8
tt0076666,6.9,6.9,6.9,6.7,7
tt0076752,7.2,7.7,7.1,7,7.1
tt0076759,8.5,8.6,8.5,8.6,8.8
tt0076786,7.5,7.9,7.6,7.4,7.1
tt0077402,8,8,7.8,7.9,7.9
tt0077416,8.1,8.8,8.2,8.1,8.2
tt0077631,7.4,7,7.2,7.1,7.5
tt0077651,7.9,7.9,7.7,7.7,7.9
tt0077766,5.8,5.6,5.6,5.7,5.9
tt0077928,7.3,7.6,7.5,7.5,7.8
tt0077975,7.6,7.4,7.4,7.3,7.8
tt0078346,7.4,7.3,7.2,7.3,7.5
tt0078748,8.4,8.5,8.3,8.4,8.7
tt0078788,8.3,8.8,8.5,8.4,8.5
tt0078841,8,8.2,8,7.9,8
tt0079116,7.7,7.7,7.6,7.6,7.6
tt0079417,7.8,8.1,8,7.8,7.5
tt0079470,8.1,8.3,8,8.1,8.2
tt0079501,7,6.6,6.8,6.9,7.1
tt0079522,7.9,8.1,7.9,7.9,7.9
tt0079574,6.3,6.5,6.2,6.2,6.4
tt0079817,7.4,7.7,7.4,7.2,7
tt0079944,8.1,8.7,8.4,8.1,7.8
tt0079945,6.4,6.5,6.3,6.4,6.5
tt0080120,7.8,7.8,7.6,7.6,7.6
tt0080339,7.8,8,7.7,7.6,7.9
tt0080453,6,6,6,5.8,5.4
tt0080455,8,7.9,7.9,7.8,8
tt0080487,7.5,7.4,7.2,7.2,7.5
tt0080678,8.1,8.5,8.2,8.1,8.1
tt0080684,8.6,8.9,8.7,8.7,8.8
tt0080749,6.9,6.7,6.7,6.7,7
tt0080761,6.6,6,6.3,6.5,6.5
tt0081398,8.1,8.4,8.2,8.1,8.1
tt0081505,8.3,8.8,8.4,8.4,8.4
tt0081573,6.9,6.9,6.8,6.8,6.9
tt0082010,7.6,7.5,7.5,7.5,7.7
tt0082096,8.3,8.3,8.3,8.3,8.4
tt0082198,7.1,6.7,6.6,6.9,7
tt0082340,7.3,7.4,7.1,7.1,7.3
tt0082398,6.9,6.8,6.7,6.7,6.9
tt0082406,7.4,7.3,7.5,7.2,7
tt0082495,6.7,6.6,6.6,6.5,6.5
tt0082694,7.7,7.8,7.7,7.6,7.7
tt0082971,8.4,8.4,8.3,8.4,8.7
tt0083131,7,6.7,6.8,6.7,7.1
tt0083511,7,7.4,6.8,6.8,7.1
tt0083658,8.1,8.3,8,8.1,8.5
tt0083791,7.4,6.9,7,7.2,7.3
tt0083866,7.8,7.8,7.7,7.8,8.1
tt0083907,7.6,7.7,7.4,7.5,7.5
tt0083929,7.3,8.4,7.1,7.1,7.4
tt0083944,7.7,7.9,7.6,7.7,7.7
tt0083987,8,7.6,8,8,8.1
tt0084503,8.1,8.4,8.2,8,7.9
tt0084516,7.4,7.1,7.1,7.3,7.6
tt0084602,6.9,7,7,6.8,6.6
tt0084726,7.8,8,7.7,7.6,7.8
tt0084787,8.1,8.5,8.1,8.1,8.2
tt0084805,7.5,7,7.6,7.3,7.4
tt0084827,6.9,6.4,6.7,6.8,6.9
tt0085333,6.8,7.5,6.8,6.7,6.7
tt0085334,8,7.5,7.7,7.9,8.3
tt0085407,7.3,7.3,7.1,7.1,7.4
tt0085794,7.8,8.1,8,7.7,7.5
tt0085959,7.6,7.6,7.6,7.5,7.5
tt0085995,7.5,7.4,7.2,7.3,7.5
tt0086034,6.6,7,6.5,6.5,6.6
