tt0469494,There Will Be Blood,2007,Drama,158,USA,"English, American Sign Language"
tt0365748,Shaun of the Dead,2004,"Comedy, Horror",99,"UK, France, USA",English
tt1232829,21 Jump Street,2012,"Action, Comedy, Crime",109,USA,English
tt0364569,Oldeuboi,2003,"Action, Drama, Mystery",120,South Korea,Korean
tt0258463,The Bourne Identity,2002,"Action, Mystery, Thriller",119,"USA, Germany, Czech Republic, France","English, French, German, Dutch, Italian, Yoruba"
tt3460252,The Hateful Eight,2015,"Crime, Drama, Mystery",168,USA,"English, Spanish, French"
tt0181689,Minority Report,2002,"Action, Crime, Mystery",145,USA,"English, Swedish"
tt0373889,Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",138,"UK, USA",English
tt2250912,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",133,USA,"English, Spanish"
tt0071853,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91,UK,"English, French, Latin"
tt1323594,Despicable Me,2010,"Animation, Comedy, Family",95,"USA, France",English
tt0409459,Watchmen,2009,"Action, Drama, Mystery",162,USA,English
tt0343818,"I, Robot",2004,"Action, Drama, Sci-Fi",115,"USA, Germany",English
tt1318514,Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi",105,"USA, UK, Canada","English, Sign Languages"
tt0450259,Blood Diamond,2006,"Adventure, Drama, Thriller",143,"USA, Germany, UK","English, Mende, Afrikaans"
tt0413300,Spider-Man 3,2007,"Action, Adventure, Sci-Fi",139,USA,"English, French"
tt3783958,La La Land,2016,"Comedy, Drama, Music",128,"USA, Hong Kong",English
tt0467406,Juno,2007,"Comedy, Drama",96,"USA, Canada","English, Spanish"
tt0332452,Troy,2004,"Drama, History",163,"USA, Malta, UK",English
tt1483013,Oblivion,2013,"Action, Adventure, Sci-Fi",124,USA,English
tt0945513,Source Code,2011,"Action, Drama, Mystery",93,"USA, Canada, France, Germany",English
tt0376994,X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",104,"Canada, USA, UK",English
tt0144084,American Psycho,2000,"Comedy, Crime, Drama",101,"USA, Canada","English, Spanish, Cantonese"
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",137,"USA, UK","English, Spanish"
tt5052448,Get Out,2017,"Horror, Mystery, Thriller",104,"USA, Japan",English
tt6751668,Gisaengchung,2019,"Comedy, Drama, Thriller",132,South Korea,"Korean, English"
tt0096874,Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",108,USA,English
tt1343092,The Great Gatsby,2013,"Drama, Romance",143,"Australia, USA",English
tt0095953,Rain Man,1988,Drama,133,USA,"English, Italian"
tt1022603,(500) Days of Summer,2009,"Comedy, Drama, Romance",95,USA,"English, French, Swedish"
tt2310332,The Hobbit: The Battle of the Five Armies,2014,"Adventure, Fantasy",144,"New Zealand, USA",English
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",146,"UK, USA",English
tt1570728,"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance",118,USA,English
tt0470752,Ex Machina,2014,"Drama, Sci-Fi, Thriller",108,UK,English
tt5463162,Deadpool 2,2018,"Action, Adventure, Comedy",119,USA,"English, Cantonese, Spanish, Russian"
tt1663662,Pacific Rim,2013,"Action, Adventure, Sci-Fi",131,USA,"English, Japanese, Cantonese, Mandarin"
tt0458525,X-Men Origins: Wolverine,2009,"Action, Adventure, Sci-Fi",107,"USA, UK",English
tt1408101,Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",132,USA,"English, Klingon"
tt0417741,Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",153,"UK, USA",English
tt0206634,Children of Men,2006,"Adventure, Drama, Sci-Fi",109,"USA, UK, Japan","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian"
tt1411697,The Hangover Part II,2011,Comedy,102,"USA, Thailand","English, Thai"
tt0425112,Hot Fuzz,2007,"Action, Comedy, Mystery",121,"UK, France",English
tt0112641,Casino,1995,"Crime, Drama",178,"France, USA",English
tt1659337,The Perks of Being a Wallflower,2012,"Drama, Romance",103,USA,English
tt0099785,Home Alone,1990,"Comedy, Family",103,USA,English
tt1229238,Mission: Impossible - Ghost Protocol,2011,"Action, Adventure, Thriller",132,"USA, United Arab Emirates, Czech Republic, India, Canada","English, Russian, French, Arabic, Swedish"
tt2872718,Nightcrawler,2014,"Crime, Drama, Thriller",117,USA,English
tt0289879,The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",113,"USA, Canada",English
tt0443706,Zodiac,2007,"Crime, Drama, Mystery",157,USA,English
tt1396484,It,2017,Horror,135,"Canada, USA","English, Hebrew"
tt0356910,Mr. & Mrs. Smith,2005,"Action, Comedy, Crime",120,USA,"English, Spanish"
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,95,"UK, USA","English, Russian"
tt1856101,Blade Runner 2049,2017,"Action, Drama, Mystery",164,"USA, UK, Hungary, Canada, Spain","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish"
tt1800241,American Hustle,2013,"Crime, Drama",138,"USA, China","English, Arabic"
tt0242653,The Matrix Revolutions,2003,"Action, Sci-Fi",129,USA,"English, French"
tt0087469,Indiana Jones and the Temple of Doom,1984,"Action, Adventure",118,USA,"English, Sinhalese, Hindi"
tt0454921,The Pursuit of Happyness,2006,"Biography, Drama",117,USA,"English, Cantonese"
tt0448157,Hancock,2008,"Action, Fantasy",92,USA,"English, Japanese, Vietnamese"
tt0099487,Edward Scissorhands,1990,"Drama, Fantasy, Romance",105,USA,English
tt2872732,Lucy,2014,"Action, Sci-Fi, Thriller",89,"France, Germany, Taiwan, Canada, USA, UK","English, Mandarin, French, Italian, German, Spanish, Korean"
tt1727824,Bohemian Rhapsody,2018,"Biography, Drama, Music",134,"UK, USA","English, British Sign Language"
tt0047396,Rear Window,1954,"Mystery, Thriller",112,USA,English
tt0449059,Little Miss Sunshine,2006,"Comedy, Drama",101,USA,English
tt0268380,Ice Age,2002,"Animation, Adventure, Comedy",81,USA,English
tt1457767,The Conjuring,2013,"Horror, Mystery, Thriller",112,USA,"English, Latin"
tt0790636,Dallas Buyers Club,2013,"Biography, Drama",117,USA,"English, Japanese"
tt2179136,American Sniper,2014,"Action, Biography, Drama",133,USA,"English, Arabic"
tt1291584,Warrior,2011,"Action, Drama, Sport",140,USA,"English, Spanish"
tt0372183,The Bourne Supremacy,2004,"Action, Mystery, Thriller",108,"USA, Germany","English, Russian, German, Italian"
tt0800080,The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",112,USA,"English, Portuguese, Spanish"
tt0119116,The Fifth Element,1997,"Action, Adventure, Sci-Fi",126,"France, UK, USA","English, Swedish, German, Arabic, Egyptian (Ancient)"
tt1979320,Rush,2013,"Action, Biography, Drama",123,"UK, Germany, USA","English, German, Italian, French, Spanish"
tt4154664,Captain Marvel,2019,"Action, Adventure, Sci-Fi",123,"USA, Australia",English
tt3890160,Baby Driver,2017,"Action, Crime, Drama",113,"UK, USA","English, American Sign Language"
tt1430132,The Wolverine,2013,"Action, Adventure, Sci-Fi",126,"USA, UK","English, Japanese"
tt2948356,Zootopia,2016,"Animation, Adventure, Comedy",108,USA,English
tt1454029,The Help,2011,Drama,146,USA,English
tt1840309,Divergent,2014,"Action, Adventure, Mystery",139,USA,"English, Spanish"
tt2119532,Hacksaw Ridge,2016,"Biography, Drama, History",139,"Australia, USA","English, Japanese"
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action, Adventure",122,USA,"English, German, Russian"
tt1099212,Twilight,2008,"Drama, Fantasy, Romance",122,USA,English
tt0367594,Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family",115,"UK, USA",English
tt1499658,Horrible Bosses,2011,"Comedy, Crime",98,USA,English
tt0314331,Love Actually,2003,"Comedy, Drama, Romance",135,"UK, USA, France","English, Portuguese, French"
